Action,Product,Price GBP,Stock,New photo count,Selected source photos,Product URL
Add photos,Strawberry & Blossom Felt Brooch,15,1,3,IMG_2924.HEIC; IMG_2954.HEIC; IMG_2671.HEIC,https://tengology.com/product/strawberry-blossom-felt-brooch
Add photos,Strawberry Felt Headband — Crimson Ribbon,18,1,1,IMG_3001.HEIC,https://tengology.com/product/strawberry-felt-headband-crimson
Add photos,Strawberry Felt Headband — Sage Ribbon,18,1,1,IMG_3813.HEIC,https://tengology.com/product/strawberry-felt-headband-sage
Add photos,Strawberry Felt Hair Clip Pair,14,1,2,IMG_4632.HEIC; IMG_4633.HEIC,https://tengology.com/product/strawberry-felt-hair-clip-pair
Add photos,Forget-Me-Not Felt Brooch,12,1,1,IMG_2336.HEIC,https://tengology.com/product/forget-me-not-felt-brooch
Add photos,Forget-Me-Not Felt Hair Clip,12,1,1,IMG_2334.HEIC,https://tengology.com/product/forget-me-not-felt-hair-clip
Add photos,Forget-Me-Not Long Barrette,15,1,1,IMG_2337.HEIC,https://tengology.com/product/forget-me-not-long-barrette
Add photos,Pink Sakura Felt Hair Clip,7,1,1,IMG_2332.HEIC,https://tengology.com/product/pink-sakura-felt-hair-clip
Add photos,Pink Sakura Felt Brooch,15,1,1,IMG_2325.HEIC,https://tengology.com/product/pink-sakura-felt-brooch
Add photos,Pink Sakura Pearl Claw Clip,15,1,1,IMG_3078.HEIC,https://tengology.com/product/pink-sakura-pearl-claw-clip
Add photos,Pink Sakura Felt Headband,18,1,1,IMG_2327.HEIC,https://tengology.com/product/pink-sakura-felt-headband
Add photos,Spring Bouquet Brooch,15,2,2,IMG_2342.HEIC; IMG_2340.HEIC,https://tengology.com/product/spring-bouquet-brooch
Add photos,Spring Bouquet Statement Headband,18,1,1,IMG_2339.HEIC,https://tengology.com/product/spring-bouquet-statement-headband
Add photos,Spring Bouquet Faux-Fur Scrunchie,16,1,2,IMG_2341.HEIC; IMG_2347.HEIC,https://tengology.com/product/spring-bouquet-faux-fur-scrunchie
Add photos,Daffodil Felt Lapel Pin,7,1,1,IMG_2344.HEIC,https://tengology.com/product/daffodil-felt-lapel-pin
Add photos,Nigiri Felt Ornament,8,4,2,IMG_4001.HEIC; IMG_4008.HEIC,https://tengology.com/product/nigiri-felt-ornament
Add photos,Reindeer Antler Felt Headband,18,0,3,IMG_4402.HEIC; IMG_4692.HEIC; IMG_4711.HEIC,https://tengology.com/product/reindeer-antler-felt-headband
Add photos,Blush Antler & Rose Headband,18,0,2,IMG_4679.HEIC; IMG_4117.HEIC,https://tengology.com/product/blush-antler-rose-headband
Add photos,Autumn Pumpkin Felt Headband,18,0,3,IMG_8814.HEIC; IMG_8816.HEIC; IMG_8855.HEIC,https://tengology.com/product/autumn-pumpkin-felt-headband
New listing,Woodland Toadstool Felt Barrette,15,1,2,IMG_0288.HEIC; IMG_0296.HEIC,https://tengology.com/product/woodland-toadstool-felt-barrette
New listing,Holly Berry Bow Felt Headband,18,1,3,IMG_2031.HEIC; IMG_2035.HEIC; IMG_2029.HEIC,https://tengology.com/product/holly-berry-bow-felt-headband
New listing,Golden Berry Bow Felt Headband,18,1,2,IMG_2979.HEIC; IMG_2988.HEIC,https://tengology.com/product/golden-berry-bow-felt-headband
New listing,Purple Cream Pumpkin Felt Headband,18,1,3,IMG_8802.HEIC; IMG_8806.HEIC; IMG_9054.HEIC,https://tengology.com/product/purple-cream-pumpkin-felt-headband
New listing,Blue Pumpkin Felt Headband,18,1,2,IMG_8818.HEIC; IMG_8820.HEIC,https://tengology.com/product/blue-pumpkin-felt-headband
New listing,Lavender Pumpkin Felt Headband,18,1,3,IMG_8822.HEIC; IMG_8824.HEIC; IMG_8864.HEIC,https://tengology.com/product/lavender-pumpkin-felt-headband
New listing,Pink Pumpkin Felt Headband,18,1,3,IMG_8825.HEIC; IMG_8827.HEIC; IMG_8863.HEIC,https://tengology.com/product/pink-pumpkin-felt-headband
New listing,Halloween Pumpkin Felt Headband,18,1,2,IMG_9052.HEIC; IMG_9053.HEIC,https://tengology.com/product/halloween-pumpkin-felt-headband
New listing,Pumpkin Cluster Felt Brooch,15,1,2,IMG_9051.HEIC; IMG_2314.HEIC,https://tengology.com/product/pumpkin-cluster-felt-brooch
New listing,Pumpkin Patch Faux-Fur Claw Clip,15,1,1,IMG_8858.HEIC,https://tengology.com/product/pumpkin-patch-faux-fur-claw-clip
New listing,Pumpkin Felt Hair Clip,7,1,1,IMG_8859.HEIC,https://tengology.com/product/pumpkin-felt-hair-clip
New listing,Bumblebee & Blossom Felt Brooch,12,1,2,IMG_3361.HEIC; IMG_3379.HEIC,https://tengology.com/product/bumblebee-blossom-felt-brooch
New listing,Bumblebee Garden Felt Headband,18,1,2,IMG_3513.HEIC; IMG_3788.HEIC,https://tengology.com/product/bumblebee-garden-felt-headband
New listing,Bumblebee & Blossom Felt Barrette,12,1,2,IMG_3361.HEIC; IMG_3513.HEIC,https://tengology.com/product/bumblebee-blossom-felt-barrette
New listing,Bumblebee Garden Faux-Fur Claw Clip,15,1,1,IMG_3513.HEIC,https://tengology.com/product/bumblebee-garden-faux-fur-claw-clip
New listing,Strawberry Blossom Faux-Fur Claw Clip,15,1,3,IMG_3004.HEIC; IMG_3817.HEIC; 849e4664-1bc8-44cd-84b9-5a7cb79e433e.jpg,https://tengology.com/product/strawberry-blossom-faux-fur-claw-clip
New listing,Holly Rose Faux-Fur Claw Clip,15,1,1,IMG_3071 (1).HEIC,https://tengology.com/product/holly-rose-faux-fur-claw-clip
New listing,Blueberry Faux-Fur Claw Clip,15,1,2,IMG_8438.HEIC; IMG_8435.HEIC,https://tengology.com/product/blueberry-faux-fur-claw-clip
New listing,Pastel Blossom Statement Headband,18,1,1,IMG_3796.HEIC,https://tengology.com/product/pastel-blossom-statement-headband
New listing,Lilac Rose Garden Felt Headband,18,1,1,IMG_6263.HEIC,https://tengology.com/product/lilac-rose-garden-felt-headband
